tipo_lancamento;data_referencia;id_obra;nome_obra;id_etapa;nome_etapa;pacote_servico;peso_fisico_etapa_pct;avanco_fisico_etapa_pct;id_insumo;descricao_insumo;categoria_insumo;grupo_custo;unidade_medida;nome_fornecedor;quantidade;valor_unitario;valor_total;forma_pagamento;status_pagamento;colaborador_lancamento
Previsto;2026-06-01;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;0;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;;78.37;33.96;2661.45;;;
Realizado;2026-06-09;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Depósito Central;31.67;32.85;1040.36;PIX;Pago;Carlos Mestre de Obras
Realizado;2026-05-27;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Construmax;31.67;35.69;1130.3;PIX;Pago;João Proprietário
Realizado;2026-06-14;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Elétrica Luz;31.67;33.76;1069.18;PIX;Pago;Carlos Mestre de Obras
Previsto;2026-06-01;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;0;INS-005;Servente;Mão de obra;Mão de Obra;diária;;352.09;77.95;27445.42;;;
Realizado;2026-05-30;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-005;Servente;Mão de obra;Mão de Obra;diária;Depósito Central;343.41;85.96;29519.52;Boleto;Pago;João Proprietário
Previsto;2026-06-01;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;0;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;;305.83;164.32;50253.99;;;
Realizado;2026-06-08;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;Depósito Central;108.14;160.21;17325.11;Cartão de Crédito;Pago;João Proprietário
Realizado;2026-05-29;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;Depósito Central;108.14;175.08;18933.15;Cartão de Crédito;Pago;João Proprietário
Realizado;2026-06-03;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;Depósito Central;108.14;188.48;20382.23;Boleto;Pago;João Proprietário
Previsto;2026-06-01;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;0;INS-002;Aço CA50 10mm;Material;Aço;kg;;89.7;80.73;7241.48;;;
Realizado;2026-06-16;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-002;Aço CA50 10mm;Material;Aço;kg;Depósito Central;29.7;91.82;2727.05;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-06-08;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-002;Aço CA50 10mm;Material;Aço;kg;Elétrica Luz;29.7;79.33;2356.1;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-05-28;OBR-001;Casa Térrea - Lote 12;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-002;Aço CA50 10mm;Material;Aço;kg;Cia do Aço;29.7;87.75;2606.17;PIX;A pagar;João Proprietário
Previsto;2026-06-21;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;0;INS-002;Aço CA50 10mm;Material;Aço;kg;;203.86;184.19;37548.97;;;
Realizado;2026-07-03;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-002;Aço CA50 10mm;Material;Aço;kg;Construmax;96.83;180.12;17441.02;Boleto;Pago;João Proprietário
Realizado;2026-06-28;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-002;Aço CA50 10mm;Material;Aço;kg;Elétrica Luz;96.83;208.05;20145.48;PIX;A pagar;Carlos Mestre de Obras
Previsto;2026-06-21;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;0;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;;259.67;31.82;8262.7;;;
Realizado;2026-06-21;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;Equipe Mão na Massa;311.96;31.2;9733.15;Boleto;Pago;João Proprietário
Previsto;2026-06-21;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;0;INS-006;Areia Média;Material;Concreto;m3;;196.99;199.28;39256.17;;;
Realizado;2026-06-16;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-006;Areia Média;Material;Concreto;m3;Equipe Mão na Massa;64.88;211.37;13713.69;Cartão de Crédito;Pago;João Proprietário
Realizado;2026-06-26;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-006;Areia Média;Material;Concreto;m3;Depósito Central;64.88;219.95;14270.36;Boleto;Pago;João Proprietário
Realizado;2026-06-24;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-006;Areia Média;Material;Concreto;m3;Construmax;64.88;189.45;12291.52;PIX;Pago;Carlos Mestre de Obras
Previsto;2026-06-21;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;0;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;;436.55;70.21;30650.18;;;
Realizado;2026-06-27;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;Cia do Aço;156.82;69.49;10897.42;Cartão de Crédito;A pagar;Carlos Mestre de Obras
Realizado;2026-07-01;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;Depósito Central;156.82;75.11;11778.75;PIX;A pagar;João Proprietário
Realizado;2026-06-23;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;Construmax;156.82;70.06;10986.81;PIX;Pago;João Proprietário
Previsto;2026-06-21;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;0;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;;409.85;195.93;80301.91;;;
Realizado;2026-07-01;OBR-001;Casa Térrea - Lote 12;ETP-002;Fundação;Estrutural;15;100;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Construmax;159.57;191.16;30503.4;PIX;Pago;João Proprietário
